iter	RMSE
0	4280.93384
1	3993.642015
2	3737.968268
3	3505.985673
4	3311.05376
5	3134.500284
6	2978.011877
7	2836.297098
8	2717.81292
9	2608.237914
10	2514.445426
11	2435.794922
12	2356.555664
13	2292.386673
14	2237.51654
15	2186.058916
16	2142.978125
17	2104.05268
18	2069.247208
19	2039.967827
20	2013.380515
21	1988.854123
22	1967.703287
23	1950.224436
24	1930.88511
25	1915.528788
26	1900.92752
27	1888.282919
28	1877.677361
29	1868.198814
30	1858.152061
31	1848.555708
32	1840.894012
33	1833.28542
34	1827.847452
35	1820.735083
36	1815.072518
37	1809.675386
38	1803.958838
39	1798.944566
40	1794.263063
41	1790.109968
42	1786.093031
43	1781.811578
44	1779.079941
45	1774.058949
46	1771.038849
47	1765.486738
48	1762.293549
49	1758.673257
50	1755.99124
51	1753.878466
52	1750.797001
53	1748.656853
54	1746.842816
55	1742.309108
56	1739.839121
57	1737.81164
58	1736.091863
59	1733.536537
60	1730.490444
61	1727.35456
62	1725.352356
63	1723.180472
64	1720.69845
65	1718.97218
66	1717.029577
67	1715.42942
68	1713.018276
69	1711.546012
70	1709.391706
71	1706.422545
72	1704.319776
73	1702.351682
74	1700.455495
75	1699.207767
76	1697.651477
77	1696.456856
78	1695.618681
79	1693.796593
80	1692.209685
81	1690.695912
82	1688.814977
83	1687.195204
84	1685.965779
85	1684.241694
86	1682.238714
87	1680.413631
88	1678.585489
89	1677.843801
90	1676.723674
91	1675.551861
92	1674.24237
93	1672.868516
94	1671.166662
95	1670.412837
96	1668.650955
97	1668.013539
98	1666.745635
99	1665.392319
100	1664.004454
101	1663.305761
102	1662.320487
103	1661.650157
104	1660.533695
105	1659.535886
106	1659.102039
107	1657.617376
108	1656.416367
109	1655.544729
110	1654.425798
111	1653.434281
112	1651.823174
113	1650.62863
114	1649.603274
115	1648.995689
116	1648.201675
117	1647.212435
118	1646.667585
119	1644.86449
120	1644.275426
121	1643.713395
122	1642.839896
123	1641.594249
124	1640.763881
125	1640.05737
126	1639.506515
127	1638.921057
128	1638.237895
129	1637.866112
130	1636.628354
131	1635.794941
132	1634.948532
133	1634.184933
134	1632.77771
135	1631.952239
136	1630.768363
137	1630.187249
138	1629.362019
139	1628.691748
140	1627.962189
141	1626.946746
142	1625.625837
143	1624.503288
144	1623.71362
145	1622.614228
146	1621.883063
147	1621.351901
148	1620.010471
149	1619.20158
150	1618.610571
151	1618.014094
152	1617.334023
153	1616.491123
154	1616.007669
155	1615.4212
156	1614.964948
157	1614.567955
158	1613.806564
159	1612.330856
160	1611.643518
161	1610.73979
162	1609.837307
163	1609.357403
164	1608.934591
165	1607.786442
166	1607.472742
167	1606.853479
168	1606.100292
169	1605.504228
170	1605.082914
171	1604.747249
172	1604.161595
173	1603.443739
174	1603.178564
175	1602.788979
176	1602.28127
