iter	Passed	Remaining
0	229	229211
1	258	129034
2	275	91443
3	292	72920
4	310	61834
5	329	54537
6	347	49320
7	365	45323
8	382	42134
9	403	39935
10	422	37977
11	440	36290
12	461	35008
13	484	34119
14	506	33284
15	534	32842
16	554	32077
17	579	31627
18	603	31169
19	628	30807
20	651	30377
21	673	29925
22	694	29506
23	713	29024
24	732	28577
25	751	28150
26	773	27879
27	793	27552
28	816	27340
29	836	27043
30	856	26777
31	886	26829
32	917	26894
33	950	26998
34	984	27153
35	1013	27141
36	1035	26961
37	1066	26992
38	1089	26851
39	1116	26798
40	1140	26668
41	1161	26500
42	1185	26382
43	1205	26198
44	1230	26111
45	1248	25889
46	1265	25665
47	1284	25470
48	1302	25270
49	1321	25113
50	1339	24924
51	1357	24739
52	1373	24547
53	1393	24412
54	1411	24246
55	1430	24109
56	1451	24017
57	1471	23900
58	1492	23805
59	1511	23678
60	1531	23569
61	1550	23462
62	1569	23348
63	1589	23240
64	1608	23137
65	1627	23031
66	1646	22928
67	1664	22810
68	1682	22702
69	1700	22595
70	1719	22498
71	1742	22454
72	1768	22459
73	1792	22424
74	1814	22373
75	1842	22402
76	1863	22337
77	1893	22377
78	1921	22398
79	1948	22412
80	1976	22423
81	1999	22381
82	2020	22321
83	2042	22270
84	2067	22255
85	2087	22181
86	2111	22157
87	2134	22118
88	2154	22056
89	2178	22028
90	2204	22017
91	2222	21930
92	2241	21857
93	2259	21780
94	2279	21719
95	2298	21641
96	2316	21566
97	2333	21480
98	2355	21435
99	2372	21350
100	2390	21280
101	2411	21233
102	2437	21227
103	2458	21179
104	2482	21157
105	2511	21183
106	2532	21139
107	2555	21106
108	2577	21068
109	2602	21052
110	2620	20987
111	2638	20917
112	2655	20846
113	2675	20789
114	2694	20738
115	2713	20679
116	2732	20623
117	2750	20558
118	2768	20497
119	2786	20437
120	2805	20378
121	2823	20320
122	2841	20257
123	2858	20197
124	2880	20164
125	2906	20162
126	2929	20134
127	2949	20092
128	2970	20059
129	2999	20072
130	3019	20027
131	3036	19968
132	3058	19937
133	3077	19891
134	3098	19856
135	3119	19818
136	3140	19780
137	3165	19774
138	3195	19796
139	3216	19757
140	3233	19699
141	3257	19679
142	3285	19691
143	3315	19710
144	3338	19686
145	3363	19676
146	3385	19647
147	3407	19617
148	3427	19575
149	3446	19527
150	3464	19479
151	3484	19440
152	3504	19398
153	3523	19357
154	3541	19308
155	3559	19257
156	3576	19203
157	3597	19169
158	3619	19146
159	3640	19113
160	3661	19079
161	3684	19058
162	3709	19048
163	3731	19021
164	3752	18988
165	3777	18979
166	3801	18961
167	3821	18923
168	3842	18896
169	3868	18886
170	3891	18865
171	3911	18827
172	3930	18790
173	3955	18775
174	3979	18759
175	4001	18736
176	4023	18709
177	4052	18713
178	4079	18710
179	4107	18709
180	4128	18681
181	4157	18686
182	4180	18664
183	4205	18650
184	4226	18617
185	4244	18574
186	4269	18562
187	4292	18538
188	4311	18502
189	4332	18470
190	4350	18427
191	4366	18377
192	4392	18365
193	4413	18338
194	4440	18329
195	4465	18316
196	4487	18290
197	4511	18275
198	4529	18233
199	4554	18217
200	4575	18186
201	4593	18147
202	4611	18103
203	4627	18056
204	4644	18012
205	4665	17982
206	4684	17947
207	4703	17910
208	4722	17874
209	4742	17840
210	4759	17795
211	4778	17761
212	4795	17718
213	4815	17688
214	4836	17657
215	4853	17614
216	4873	17586
217	4900	17577
218	4924	17562
219	4950	17550
220	4970	17519
221	4989	17485
222	5015	17477
223	5038	17456
224	5059	17428
225	5086	17420
226	5106	17387
227	5123	17346
228	5150	17341
229	5172	17317
230	5192	17285
231	5210	17247
232	5227	17207
233	5249	17185
234	5270	17157
235	5294	17139
236	5312	17103
237	5335	17082
238	5360	17069
239	5383	17049
240	5405	17023
241	5424	16990
242	5444	16961
243	5463	16926
244	5484	16901
245	5506	16877
246	5530	16859
247	5554	16842
248	5581	16833
249	5606	16818
250	5628	16796
251	5648	16766
252	5666	16731
253	5691	16717
254	5713	16693
255	5732	16660
256	5750	16625
257	5774	16607
258	5797	16587
259	5818	16559
260	5843	16544
261	5861	16510
262	5884	16488
263	5911	16481
264	5936	16465
265	5958	16441
266	5983	16426
267	6006	16406
268	6031	16389
269	6056	16376
270	6078	16351
271	6097	16319
272	6114	16283
273	6143	16277
274	6167	16258
275	6191	16242
276	6214	16220
277	6242	16212
278	6265	16192
279	6287	16168
280	6306	16135
281	6324	16103
282	6343	16071
283	6361	16039
284	6380	16006
285	6398	15973
286	6419	15947
287	6439	15920
288	6459	15890
289	6478	15860
290	6496	15829
291	6514	15796
292	6533	15765
293	6554	15738
294	6573	15708
295	6594	15684
296	6618	15665
297	6635	15631
298	6654	15601
299	6677	15579
300	6697	15554
301	6717	15526
302	6742	15510
303	6764	15486
304	6784	15460
305	6806	15436
306	6833	15424
307	6852	15396
308	6873	15371
309	6905	15369
310	6931	15356
311	6957	15341
312	6978	15317
313	7000	15293
314	7024	15276
315	7054	15269
316	7083	15262
317	7105	15239
318	7126	15214
319	7153	15201
320	7179	15186
321	7202	15165
322	7228	15149
323	7246	15119
324	7264	15087
325	7281	15054
326	7299	15023
327	7318	14994
328	7337	14964
329	7355	14934
330	7375	14906
331	7394	14877
332	7412	14846
333	7432	14819
334	7450	14789
335	7469	14762
336	7487	14731
337	7506	14702
338	7523	14669
339	7540	14636
340	7559	14608
341	7578	14580
342	7598	14554
343	7622	14536
344	7642	14508
345	7658	14475
346	7678	14449
347	7695	14418
348	7716	14393
349	7734	14364
350	7756	14342
351	7774	14311
352	7795	14287
353	7819	14269
354	7837	14239
355	7856	14211
356	7881	14195
357	7912	14189
358	7950	14195
359	7979	14185
360	8005	14170
361	8026	14146
362	8050	14127
363	8073	14105
364	8093	14080
365	8115	14057
366	8143	14046
367	8172	14035
368	8195	14015
369	8221	13998
370	8248	13983
371	8267	13957
372	8289	13934
373	8311	13912
374	8330	13884
375	8350	13857
376	8368	13829
377	8387	13802
378	8408	13778
379	8428	13752
380	8450	13729
381	8468	13699
382	8488	13674
383	8507	13647
384	8527	13621
385	8547	13596
386	8566	13569
387	8585	13542
388	8607	13520
389	8625	13491
390	8647	13469
391	8671	13450
392	8690	13422
393	8709	13396
394	8733	13376
395	8756	13355
396	8773	13326
397	8792	13298
398	8815	13278
399	8842	13263
400	8863	13240
401	8889	13223
402	8918	13211
403	8942	13192
404	8970	13179
405	8991	13155
406	9016	13137
407	9045	13125
408	9068	13104
409	9090	13081
410	9120	13070
411	9147	13055
412	9176	13042
413	9198	13020
414	9223	13001
415	9252	12988
416	9278	12972
417	9303	12954
418	9331	12938
419	9353	12916
420	9377	12897
421	9398	12872
422	9418	12847
423	9438	12821
424	9456	12794
425	9474	12766
426	9492	12738
427	9511	12712
428	9532	12687
429	9550	12659
430	9567	12630
431	9586	12603
432	9603	12575
433	9622	12549
434	9639	12520
435	9658	12494
436	9682	12473
437	9703	12450
438	9729	12433
439	9750	12409
440	9774	12389
441	9796	12367
442	9817	12343
443	9840	12322
444	9864	12303
445	9890	12285
446	9918	12270
447	9941	12249
448	9959	12221
449	9974	12191
450	9993	12164
451	10009	12136
452	10029	12110
453	10047	12083
454	10068	12059
455	10090	12037
456	10106	12008
457	10127	11985
458	10147	11959
